"Contig","Description","Top_hit","BitScore","Evalue"
"k141_1623347.concoct_part_0","","","",NA
"k141_3459711.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1618",0
"k141_146911.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","18986",0
"k141_515897.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","1881",0
"k141_146952.concoct_part_7","HG938370.1","Burkholderia cenocepacia H111 chromosome 1 complete ge...","18691",0
"k141_3460455.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1989",0
"k141_516359.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","2398",0
"k141_2726848.concoct_part_0","","","",NA
"k141_880539.concoct_part_0","CP053408.1","Salmonella enterica strain 87-0091 chromosome, complet...","69.4",6e-08
"k141_4220966.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1384",0
"k141_2352429.concoct_part_0","CP054018.1","Rothia dentocariosa strain FDAARGOS_752 chromosome, co...","4357",0
"k141_3119104.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","2643",0
"k141_3119229.concoct_part_0","","","",NA
"k141_881077.concoct_part_0","LS483443.1","Aggregatibacter segnis strain NCTC10977 genome assembl...","2372",0
"k141_2353004.concoct_part_0","CP044107.1","Enterobacter hormaechei strain FDAARGOS_642 chromosome...","4396",0
"k141_4221772.concoct_part_0","CP053988.1","Abiotrophia defectiva strain FDAARGOS_785 chromosome, ...","8523",0
"k141_1255842.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","2379",0
"k141_3462749.concoct_part_0","CP024704.1","Fusobacterium pseudoperiodonticum strain KCOM 2555 chr...","3498",0
"k141_1626533.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","4577",0
"k141_1256284.concoct_part_0","LR134283.1","Streptococcus anginosus strain NCTC10713 genome assemb...","2795",0
"k141_4222639.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","7323",0
"k141_1256330.concoct_part_0","LS483436.1","Streptococcus intermedius strain NCTC11324 genome asse...","2721",0
"k141_2354182.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1655",0
"k141_3463644.concoct_part_0","","","",NA
"k141_3823037.concoct_part_0","CP026050.1","Serratia marcescens strain FDAARGOS_65 chromosome, com...","5703",0
"k141_1627185.concoct_part_0","","","",NA
"k141_1627211.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2226",0
"k141_3121242.concoct_part_0","CP002280.1","Rothia dentocariosa ATCC 17931, complete genome","586",1e-163
"k141_882560.concoct_part_0","","","",NA
"k141_1981391.concoct_part_0","","","",NA
"k141_4223812.concoct_part_0","CP051132.1","Enterobacter hormaechei strain AMS-38 chromosome, comp...","2241",0
"k141_3824140.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","3293",0
"k141_151144.concoct_part_2","CP024932.1","Corynebacterium striatum strain 216 chromosome, comple...","31288",0
"k141_2356177.concoct_part_0","CP031240.1","Haemophilus haemolyticus strain M19345 chromosome, com...","1851",0
"k141_4225139.concoct_part_0","","","",NA
"k141_1982341.concoct_part_0","CP031241.1","Haemophilus influenzae strain M17648 chromosome, compl...","4741",0
"k141_3123001.concoct_part_0","CP035368.2","Haemophilus parainfluenzae strain LC_1315_18 chromosom...","1906",0
"k141_3123195.concoct_part_0","LM995654.1","Escherichia coli genome assembly FHI23, scaffold scaff...","4416",0
"k141_1258682.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","4119",0
"k141_2731611.concoct_part_0","CP022385.1","Capnocytophaga sputigena strain KC1668 chromosome, com...","1585",0
"k141_3123349.concoct_part_0","CP003357.2","Streptococcus pneumoniae ST556, complete genome","1570",0
"k141_3123418.concoct_part_0","CP047570.1","Enterobacter hormaechei strain F2 chromosome, complete...","2228",0
"k141_521142.concoct_part_1","CP024931.1","Corynebacterium striatum strain 215 chromosome, comple...","25294",0
"k141_3123691.concoct_part_0","CP018926.1","Serratia marcescens strain UMH6, complete genome","5072",0
"k141_152364.concoct_part_0","CP031255.1","Neisseria elongata strain M15910 chromosome, complete ...","3629",0
"k141_3124474.concoct_part_0","HG938371.2","Burkholderia cenocepacia H111 chromosome 2, complete g...","18257",0
"k141_3467809.concoct_part_0","AP011540.1","Rothia mucilaginosa DY-18 DNA, complete genome","2274",0
"k141_522505.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","2401",0
"k141_2734111.concoct_part_0","CP026082.1","Streptococcus agalactiae strain YZ1605 chromosome, com...","566",4e-157
"k141_3826523.concoct_part_0","CP024697.1","Prevotella intermedia strain KCOM 2836 chromosome, com...","1797",0
"k141_3125873.concoct_part_0","CP010900.1","Moraxella catarrhalis strain MC5 chromosome","1083",0
"k141_2359250.concoct_part_0","","","",NA
"k141_1261302.concoct_part_0","","","",NA
"k141_886258.concoct_part_0","CP039886.1","Neisseria flavescens strain ATCC 13120 chromosome, com...","822",0
"k141_3469378.concoct_part_0","CP035466.1","Klebsiella aerogenes strain LU2 chromosome, complete g...","2617",0
"k141_1985704.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","2460",0
"k141_886884.concoct_part_0","CP011965.1","Bifidobacterium longum subsp. longum strain CCUG30698,...","749",0
"k141_3469848.concoct_part_0","AP023349.1","Streptococcus mitis Nm-65 DNA, complete genome","1254",0
"k141_3827826.concoct_part_0","CP012648.1","Streptococcus gordonii strain KCOM 1506 (= ChDC B679),...","8080",0
"k141_887466.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","1831",0
"k141_3470280.concoct_part_0","CP024932.1","Corynebacterium striatum strain 216 chromosome, comple...","19184",0
"k141_1263073.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","1061",0
"k141_2361566.concoct_part_0","LR134472.1","Parvimonas micra strain NCTC11808 genome assembly, chr...","2065",0
"k141_3828356.concoct_part_0","LR134504.1","Corynebacterium matruchotii strain NCTC10206 genome as...","3517",0
"k141_1986670.concoct_part_1","","","",NA
"k141_1986670.concoct_part_4","CP013210.1","Empedobacter brevis strain BCLYD2 chromosome, complete...","84.2",2e-11
"k141_1986670.concoct_part_10","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","641",2e-179
"k141_3828389.concoct_part_0","","","",NA
"k141_4231182.concoct_part_0","CP046335.1","Streptococcus mitis strain FDAARGOS_684 chromosome, co...","1731",0
"k141_525181.concoct_part_0","CP020450.2","Streptococcus gordonii strain FDAARGOS_257 chromosome,...","12406",0
"k141_3829069.concoct_part_0","CP040804.1","Streptococcus salivarius strain LAB813 chromosome, com...","7134",0
"k141_4231727.concoct_part_0","CP027228.1","Mogibacterium diversum strain CCUG 47132 chromosome, c...","91.6",2e-14
"k141_887800.concoct_part_11","CP061082.1","Serratia liquefaciens strain MT49 chromosome, complete...","17848",0
"k141_887800.concoct_part_12","CP033893.1","Serratia liquefaciens strain FG3 chromosome, complete ...","18018",0
"k141_887800.concoct_part_16","CP014017.2","Serratia liquefaciens strain FDAARGOS_125 chromosome, ...","17861",0
"k141_887800.concoct_part_21","CP006252.1","Serratia liquefaciens ATCC 27592, complete genome","18173",0
"k141_887800.concoct_part_27","CP048784.1","Serratia liquefaciens strain S1 chromosome, complete g...","32729",0
"k141_1264656.concoct_part_0","CP050175.1","Streptococcus pneumoniae strain PZ900701590 chromosome...","2464",0
"k141_888325.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","2305",0
"k141_2363459.concoct_part_0","CP028415.1","Streptococcus mitis strain SK637 chromosome, complete ...","2060",0
"k141_4232716.concoct_part_0","CP029126.1","Enterobacter hormaechei strain AR432 chromosome, compl...","5651",0
"k141_3829986.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","2549",0
"k141_3830008.concoct_part_0","CP039886.1","Neisseria flavescens strain ATCC 13120 chromosome, com...","2946",0
"k141_157605.concoct_part_1","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","18301",0
"k141_3830408.concoct_part_0","HQ652506.1","Streptococcus australis strain FRStet12 ABC transporte...","2300",0
"k141_2364179.concoct_part_0","","","",NA
"k141_2740050.concoct_part_0","MK992499.1","Staphylococcus aureus strain 17Sau58 plasmid p17Sau58,...","3480",0
"k141_3830678.concoct_part_4","LR798193.1","Burkholderia cenocepacia strain IST439 genome assembly...","15029",0
"k141_527099.concoct_part_1","","","",NA
"k141_1266349.concoct_part_0","CP025930.1","Porphyromonas gingivalis ATCC 33277 chromosome, comple...","102",1e-17
"k141_158676.concoct_part_4","CP014014.1","Stenotrophomonas maltophilia strain FDAARGOS_92 chromo...","10318",0
"k141_4234362.concoct_part_0","CP020450.2","Streptococcus gordonii strain FDAARGOS_257 chromosome,...","5336",0
"k141_889847.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1205",0
"k141_3131780.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","1875",0
"k141_3473946.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","10840",0
"k141_1990350.concoct_part_0","AP014880.1","Streptococcus intermedius TYG1620 DNA, complete genome","60.2",6e-05
"k141_3831797.concoct_part_0","CP019721.1","Veillonella parvula strain UTDB1-3, complete genome","2606",0
"k141_159540.concoct_part_0","CP043766.1","Enterobacter hormaechei strain EB_P9_L5_03.19 chromoso...","2569",0
"k141_159778.concoct_part_0","AP011540.1","Rothia mucilaginosa DY-18 DNA, complete genome","4562",0
"k141_160277.concoct_part_0","CP040804.1","Streptococcus salivarius strain LAB813 chromosome, com...","1511",0
"k141_2742831.concoct_part_0","","","",NA
"k141_2367327.concoct_part_0","CP032056.1","Prevotella denticola strain KCOM 1525 chromosome 1, co...","5736",0
"k141_1638157.concoct_part_0","CP026650.1","Serratia marcescens isolate GN26 chromosome","17586",0
"k141_1638157.concoct_part_1","CP026050.1","Serratia marcescens strain FDAARGOS_65 chromosome, com...","33063",0
"k141_529432.concoct_part_0","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","18921",0
"k141_529465.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","3819",0
"k141_161544.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","850",0
"k141_4237114.concoct_part_0","CP048043.1","Serratia liquefaciens strain JL02 chromosome, complete...","17869",0
"k141_4237114.concoct_part_3","CP011303.1","Serratia liquefaciens strain HUMV-21, complete genome","17878",0
"k141_4237114.concoct_part_4","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","17047",0
"k141_1992580.concoct_part_0","LS483346.1","Streptococcus sanguinis strain NCTC11085 genome assemb...","2266",0
"k141_3476947.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","1585",0
"k141_4237436.concoct_part_0","","","",NA
"k141_4237475.concoct_part_0","CP047845.1","Staphylococcus aureus strain UP_591 chromosome, comple...","5690",0
"k141_892927.concoct_part_0","CP012646.1","Streptococcus mitis strain KCOM 1350 (= ChDC B183), co...","1770",0
"k141_3477167.concoct_part_0","LR216022.1","Streptococcus pneumoniae strain 2245STDY5699131 genome...","19200",0
"k141_1640344.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","2207",0
"k141_893216.concoct_part_0","LR129840.1","Streptococcus pneumoniae strain 4496 genome assembly, ...","3203",0
"k141_1640633.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","2292",0
"k141_162618.concoct_part_0","CP046310.1","Lactobacillus jensenii strain FDAARGOS_749 chromosome,...","62.1",9e-06
"k141_893735.concoct_part_0","","","",NA
"k141_1993270.concoct_part_0","CP002589.1","Prevotella denticola F0289, complete genome","608",4e-170
"k141_1271039.concoct_part_0","CP027228.1","Mogibacterium diversum strain CCUG 47132 chromosome, c...","2588",0
"k141_2370402.concoct_part_0","CP019889.1","Enterobacter hormaechei strain FRM chromosome, complet...","3483",0
"k141_1271116.concoct_part_0","CP045916.1","Pseudomonas aeruginosa strain CF39S chromosome, comple...","20886",0
"k141_1271171.concoct_part_0","LS483366.1","Streptococcus salivarius strain NCTC7366 genome assemb...","1954",0
"k141_894206.concoct_part_0","","","",NA
"k141_163654.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","7685",0
"k141_4239235.concoct_part_0","","","",NA
"k141_1993956.concoct_part_0","CP006776.1","Streptococcus sp. I-P16, complete genome","893",0
"k141_531957.concoct_part_0","LR134472.1","Parvimonas micra strain NCTC11808 genome assembly, chr...","1971",0
"k141_4239547.concoct_part_0","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","8124",0
"k141_2371678.concoct_part_0","CP015283.1","Streptococcus salivarius strain ATCC 25975, complete g...","13147",0
"k141_2747022.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","3094",0
"k141_4239904.concoct_part_0","CP061082.1","Serratia liquefaciens strain MT49 chromosome, complete...","18007",0
"k141_2372096.concoct_part_0","CP021642.1","Campylobacter concisus strain P2CDO4 chromosome, compl...","3384",0
"k141_3137429.concoct_part_0","CP054134.1","Streptococcus oralis subsp. oralis strain SN51445 chro...","3446",0
"k141_895518.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","5496",0
"k141_2372616.concoct_part_0","LR134336.1","Streptococcus oralis strain NCTC11427 genome assembly,...","3299",0
"k141_2372626.concoct_part_0","CP026082.1","Streptococcus agalactiae strain YZ1605 chromosome, com...","18334",0
"k141_2372626.concoct_part_1","LS483342.1","Streptococcus agalactiae strain NCTC11930 genome assem...","31817",0
"k141_1643598.concoct_part_2","CP050326.1","Pseudomonas aeruginosa strain DVT423 chromosome, compl...","18384",0
"k141_1995388.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1513",0
"k141_896623.concoct_part_0","CP053939.1","Neisseria mucosa strain FDAARGOS_758 chromosome, compl...","2460",0
"k141_165792.concoct_part_0","","","",NA
"k141_2748582.concoct_part_0","CP016205.1","Prevotella scopos JCM 17725 strain W2052 chromosome 2 ...","4082",0
"k141_2748723.concoct_part_0","CP020451.2","Streptococcus salivarius strain FDAARGOS_259 chromosom...","3408",0
"k141_533736.concoct_part_1","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","18351",0
"k141_1273925.concoct_part_2","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","1266",0
"k141_1273954.concoct_part_0","CP050965.1","Gemella haemolysans strain FDAARGOS_740 chromosome","1426",0
"k141_533793.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","2639",0
"k141_1274039.concoct_part_0","CP047570.1","Enterobacter hormaechei strain F2 chromosome, complete...","5299",0
"k141_4242004.concoct_part_0","","","",NA
"k141_2749436.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","2983",0
"k141_1996319.concoct_part_0","CP028150.1","Neisseria mucosa strain ATCC 19696 chromosome, complet...","3291",0
"k141_4242186.concoct_part_0","CP028415.1","Streptococcus mitis strain SK637 chromosome, complete ...","1502",0
"k141_4242223.concoct_part_0","AE017226.1","Treponema denticola ATCC 35405, complete genome","2067",0
"k141_1645427.concoct_part_0","","","",NA
"k141_166923.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","1561",0
"k141_1996621.concoct_part_0","LS483451.1","Streptococcus pneumoniae strain 4041STDY6836166 genome...","2549",0
"k141_3140603.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","4626",0
"k141_898586.concoct_part_0","LR216022.1","Streptococcus pneumoniae strain 2245STDY5699131 genome...","2468",0
"k141_167847.concoct_part_0","CP047883.1","Streptococcus mitis strain S022-V3-A4 chromosome, comp...","2109",0
"k141_4243185.concoct_part_0","CP059571.1","Neisseria bacilliformis strain DSM 23338 chromosome, c...","206",4e-49
"k141_1997504.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","1703",0
"k141_1997649.concoct_part_0","","","",NA
"k141_1275984.concoct_part_0","CP003191.1","Tannerella forsythia 92A2, complete genome","4721",0
"k141_3483474.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","3277",0
"k141_4243941.concoct_part_0","CP052431.1","Klebsiella pneumoniae strain C16KP0122 chromosome, com...","10999",0
"k141_1276718.concoct_part_0","CP025930.1","Porphyromonas gingivalis ATCC 33277 chromosome, comple...","2231",0
"k141_3842475.concoct_part_0","CP050965.1","Gemella haemolysans strain FDAARGOS_740 chromosome","2045",0
"k141_1277366.concoct_part_0","CP054570.1","Streptococcus sanguinis strain FDAARGOS_770 chromosome...","2891",0
"k141_1648771.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","2852",0
"k141_900434.concoct_part_0","CP034908.2","Pseudomonas aeruginosa strain PA0750 chromosome, compl...","11974",0
"k141_900498.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1816",0
"k141_4245337.concoct_part_0","CP041689.1","Micrococcus luteus strain 10240 chromosome, complete g...","896",0
"k141_2753245.concoct_part_0","","","",NA
"k141_537916.concoct_part_0","CP054214.1","Escherichia coli strain EcPF40 chromosome, complete ge...","2108",0
"k141_3485455.concoct_part_0","","","",NA
"k141_538031.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","3325",0
"k141_538102.concoct_part_0","CP040019.1","Micrococcus luteus strain AS2 chromosome, complete genome","152",3e-32
"k141_538224.concoct_part_0","AP023349.1","Streptococcus mitis Nm-65 DNA, complete genome","2076",0
"k141_2000071.concoct_part_0","CP007472.1","Haemophilus influenzae strain 723, complete genome","4534",0
"k141_2000867.concoct_part_0","CP030910.1","Pseudomonas aeruginosa strain Y31 chromosome, complete...","23468",0
"k141_2001141.concoct_part_0","","","",NA
"k141_3845746.concoct_part_4","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","23616",0
"k141_540378.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","6333",0
"k141_173740.concoct_part_0","CP054153.1","Streptococcus salivarius strain DB-B5 chromosome, comp...","2985",0
"k141_904728.concoct_part_0","CP002589.1","Prevotella denticola F0289, complete genome","1256",0
"k141_4249647.concoct_part_0","LR798195.1","Burkholderia cenocepacia strain IST439 genome assembly...","19747",0
"k141_2003039.concoct_part_0","","","",NA
"k141_1282257.concoct_part_0","CP007631.2","Streptococcus agalactiae strain NGBS061, complete genome","18467",0
"k141_905157.concoct_part_0","AP017894.1","Actinomyces naeslundii DNA, complete genome","3042",0
"k141_174271.concoct_part_0","CP054010.1","Prevotella melaninogenica strain FDAARGOS_760 chromoso...","2758",0
"k141_905443.concoct_part_2","CP036190.1","Klebsiella pneumoniae strain BA34918 chromosome, compl...","22388",0
"k141_4250633.concoct_part_0","CP053999.1","Streptococcus intermedius strain FDAARGOS_769 chromoso...","2499",0
"k141_2383926.concoct_part_0","CP057612.1","Escherichia coli strain RHB21-C04 chromosome, complete...","13007",0
"k141_175286.concoct_part_0","","","",NA
"k141_4250791.concoct_part_11","CP013210.1","Empedobacter brevis strain BCLYD2 chromosome, complete...","1432",0
"k141_3848858.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","2868",0
"k141_2004612.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","2015",0
"k141_2384241.concoct_part_0","CP042566.1","Enterobacter hormaechei strain C44 chromosome, complet...","2678",0
"k141_2005004.concoct_part_0","CP022041.2","Prevotella melaninogenica strain FDAARGOS_306 chromoso...","8065",0
"k141_2005038.concoct_part_0","EU434757.1","Bifidobacterium longum strain M21 MAFF protein, TetW-r...","1138",0
"k141_3152358.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","2021",0
"k141_3850004.concoct_part_0","CP027241.1","Lachnospiraceae bacterium oral taxon 500 strain W11650...","200",5e-47
"k141_544241.concoct_part_0","AP013044.1","Tannerella forsythia 3313 DNA, complete genome","8408",0
"k141_176678.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","1552",0
"k141_1658067.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1371",0
"k141_2005974.concoct_part_0","CP036190.1","Klebsiella pneumoniae strain BA34918 chromosome, compl...","9756",0
"k141_1285687.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","2377",0
"k141_2006257.concoct_part_0","CP034442.1","Streptococcus oralis subsp. dentisani strain F0392 chr...","2551",0
"k141_177504.concoct_part_0","CP059571.1","Neisseria bacilliformis strain DSM 23338 chromosome, c...","4795",0
"k141_177536.concoct_part_0","LR594037.1","Streptococcus anginosus strain NCTC11064 genome assemb...","5024",0
"k141_3493158.concoct_part_0","CP054011.1","Prevotella melaninogenica strain FDAARGOS_760 chromoso...","3951",0
"k141_908404.concoct_part_0","CP003191.1","Tannerella forsythia 92A2, complete genome","9954",0
"k141_908482.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1674",0
"k141_1286245.concoct_part_0","CP034089.1","Bifidobacterium longum strain LTBL16 chromosome, compl...","1930",0
"k141_3493621.concoct_part_0","LS483443.1","Aggregatibacter segnis strain NCTC10977 genome assembl...","2143",0
"k141_2757687.concoct_part_4","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","16861",0
"k141_2757687.concoct_part_6","CP050452.1","Stenotrophomonas maltophilia strain SoD9b chromosome, ...","17143",0
"k141_2757687.concoct_part_7","LR134324.1","Stenotrophomonas maltophilia strain NCTC10259 genome a...","14116",0
"k141_2757687.concoct_part_15","CP025298.1","Stenotrophomonas maltophilia strain CSM2 chromosome, c...","14573",0
"k141_2757687.concoct_part_28","CP002986.1","Stenotrophomonas maltophilia JV3, complete genome","15010",0
"k141_2757687.concoct_part_43","CP050452.1","Stenotrophomonas maltophilia strain SoD9b chromosome, ...","17450",0
"k141_2757687.concoct_part_44","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","12115",0
"k141_2757687.concoct_part_59","CP040437.1","Stenotrophomonas maltophilia strain PEG-305 chromosome...","10429",0
"k141_2757687.concoct_part_66","CP025298.1","Stenotrophomonas maltophilia strain CSM2 chromosome, c...","9195",0
"k141_2757687.concoct_part_67","CP025298.1","Stenotrophomonas maltophilia strain CSM2 chromosome, c...","15669",0
"k141_2757687.concoct_part_84","CP050452.1","Stenotrophomonas maltophilia strain SoD9b chromosome, ...","14177",0
"k141_2757687.concoct_part_90","CP025298.1","Stenotrophomonas maltophilia strain CSM2 chromosome, c...","14480",0
"k141_2757687.concoct_part_125","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","16689",0
"k141_545589.concoct_part_0","CP031971.1","Parvimonas micra strain KCOM 1037 chromosome, complete...","2785",0
"k141_3851857.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","1587",0
"k141_178481.concoct_part_5","","","",NA
"k141_2007485.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2342",0
"k141_3155148.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","4228",0
"k141_909359.concoct_part_1","","","",NA
"k141_909359.concoct_part_2","CP025931.1","Porphyromonas gingivalis strain TDC 60 chromosome, com...","640",7e-179
"k141_178616.concoct_part_0","CP047697.1","Pseudomonas aeruginosa strain RD1-3 chromosome, comple...","29940",0
"k141_3155172.concoct_part_0","AP023349.1","Streptococcus mitis Nm-65 DNA, complete genome","1517",0
"k141_1287779.concoct_part_0","","","",NA
"k141_3852831.concoct_part_0","","","",NA
"k141_3495914.concoct_part_0","CP018189.1","Streptococcus salivarius strain ICDC3 chromosome, comp...","9666",0
"k141_3156419.concoct_part_0","LS483443.1","Aggregatibacter segnis strain NCTC10977 genome assembl...","1871",0
"k141_2008685.concoct_part_0","CP010902.1","Moraxella catarrhalis strain MC8 chromosome","21894",0
"k141_2388450.concoct_part_0","CP003859.1","Streptococcus constellatus subsp. pharyngis C1050, com...","1977",0
"k141_910962.concoct_part_0","CP050332.1","Pseudomonas aeruginosa strain DVT413 chromosome, compl...","885",0
"k141_4255419.concoct_part_0","CP060487.1","Serratia marcescens strain MGH246 chromosome","1912",0
"k141_3853629.concoct_part_0","CP024700.1","Fusobacterium pseudoperiodonticum strain KCOM 1263 chr...","4577",0
"k141_1662198.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","1975",0
"k141_3496811.concoct_part_1","CP056425.1","Klebsiella pneumoniae strain RHBSTW-00515 chromosome, ...","18089",0
"k141_1662529.concoct_part_5","CP013696.1","Pseudomonas aeruginosa strain 12-4-4(59), complete genome","18384",0
"k141_2389215.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","1602",0
"k141_1663188.concoct_part_0","","","",NA
"k141_3855045.concoct_part_0","","","",NA
"k141_3855070.concoct_part_0","LR134481.1","Haemophilus parainfluenzae strain NCTC10665 genome ass...","2324",0
"k141_1290557.concoct_part_0","LS483471.1","Streptococcus cristatus strain NCTC13807 genome assemb...","167",1e-36
"k141_1290605.concoct_part_0","LS483444.1","Streptococcus australis strain NCTC13166 genome assemb...","2254",0
"k141_549530.concoct_part_0","LS483411.1","Haemophilus influenzae strain NCTC11426 genome assembl...","2584",0
"k141_2762510.concoct_part_0","AP019841.1","Leptotrichia wadei JMUB3936 DNA, complete genome","874",0
"k141_550153.concoct_part_0","CP054064.1","Klebsiella pneumoniae strain WSHvKP plasmid pSWHvKp, c...","18467",0
"k141_1291711.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","1286",0
"k141_4257890.concoct_part_0","LR134336.1","Streptococcus oralis strain NCTC11427 genome assembly,...","1465",0
"k141_550512.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","2285",0
"k141_4258281.concoct_part_0","","","",NA
"k141_3500510.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","5197",0
"k141_2391872.concoct_part_0","","","",NA
"k141_2013692.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","1679",0
"k141_2764884.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","3290",0
"k141_1293050.concoct_part_0","CP024600.1","Porphyromonas gingivalis strain KCOM 2801 chromosome, ...","27359",0
"k141_2765417.concoct_part_0","","","",NA
"k141_3501922.concoct_part_0","CP022383.1","Capnocytophaga sputigena strain H4486 chromosome, comp...","1173",0
"k141_551693.concoct_part_0","LR798195.1","Burkholderia cenocepacia strain IST439 genome assembly...","18246",0
"k141_551693.concoct_part_8","CP015035.1","Burkholderia cenocepacia strain 842 chromosome 3, comp...","18273",0
"k141_1293723.concoct_part_0","","","",NA
"k141_3162225.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","2298",0
"k141_185854.concoct_part_0","CP053939.1","Neisseria mucosa strain FDAARGOS_758 chromosome, compl...","876",0
"k141_1667604.concoct_part_0","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","32600",0
"k141_916605.concoct_part_0","","","",NA
