"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"963","k141_2757687.concoct_part_59","AAG07763","mexW","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"962","k141_2757687.concoct_part_44","AAG07064","mexK","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"961","k141_2757687.concoct_part_43","AAG07064","mexK","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"960","k141_2757687.concoct_part_4","BAE77933","CRP","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"959","k141_2757687.concoct_part_28","CAC14595","smeE","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"958","k141_2757687.concoct_part_15","AAG04750","PmpM","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"957","k141_2757687.concoct_part_125","AAC73564","acrB","Multidrug","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"956","k141_2753245.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"955","k141_2749436.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"954","k141_2748723.concoct_part_0","AAN00989","Streptococcus agalactiae mprF","Peptide antibiotic","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"953","k141_2748582.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Prevotella","Prevotella scopos",NA,"Chromosome","Chromosome"
"952","k141_2747022.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Atopobium","Atopobium parvulum","Siphoviridae","Chromosome","Phage"
"951","k141_2742831.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"950","k141_2740050.concoct_part_0","BAA34540","mphC","MLS","antibiotic inactivation","Staphylococcus","Staphylococcus aureus",NA,"Plasmid","Plasmid"
"949","k141_2734111.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"948","k141_273384.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"947","k141_2731611.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Capnocytophaga","Capnocytophaga sputigena",NA,"Chromosome","Chromosome"
"946","k141_2726848.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"945","k141_2722039.concoct_part_0","AAC74149","mdtH","Fluoroquinolone","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"944","k141_2722034.concoct_part_1","AAC74149","mdtH","Fluoroquinolone","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"943","k141_2720933.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"942","k141_271736.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"941","k141_2716462.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"940","k141_2713512.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"939","k141_2712568.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"938","k141_2710756.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"937","k141_2709585.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"936","k141_2706776.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"935","k141_2705779.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"934","k141_2705555.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"933","k141_2701627.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"932","k141_27000.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"931","k141_2699271.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"930","k141_2694616.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"929","k141_2693865.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"928","k141_2691811.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"927","k141_2690111.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Lachnospiraceae","Lachnospiraceae bacterium",NA,"Chromosome","Chromosome"
"926","k141_2690013.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"925","k141_2684251.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"924","k141_2680601.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"923","k141_2678641.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Leptotrichia","Leptotrichia wadei",NA,"Chromosome","Chromosome"
"922","k141_2673767.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"921","k141_2672500.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"920","k141_2671359.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"919","k141_2669499.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Actinomyces","Actinomyces sp.",NA,"Chromosome","Chromosome"
"918","k141_2666281.concoct_part_2","AAG05913","OpmB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"917","k141_2666281.concoct_part_1","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"916","k141_2663690.concoct_part_8","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"915","k141_2663690.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"914","k141_2663228.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"913","k141_2663125.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Bacteroides","Bacteroides zoogleoformans",NA,"Chromosome","Chromosome"
"912","k141_2662890.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"911","k141_2662302.concoct_part_1","ALH22601","adeL","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"910","k141_2661499.concoct_part_0","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"909","k141_2659397.concoct_part_1","CAA79727","tetQ","Tetracycline","antibiotic target protection","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"908","k141_2659339.concoct_part_0","BAE78116","eptA","Peptide antibiotic","antibiotic target alteration","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"907","k141_2657590.concoct_part_1","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"906","k141_2657478.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"905","k141_2657393.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"904","k141_2657268.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"903","k141_2657055.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"902","k141_2654461.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"901","k141_2654279.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"900","k141_2652382.concoct_part_0","BAE77933","CRP","Multidrug","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"899","k141_2650879.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Aggregatibacter","Aggregatibacter aphrophilus",NA,"Chromosome","Chromosome"
"898","k141_2650592.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"897","k141_265003.concoct_part_0","ACH87088","tet32","Tetracycline","antibiotic target protection","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"896","k141_2649691.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"895","k141_2647195.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"894","k141_2644864.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"893","k141_2642838.concoct_part_1","AAB58161","ceoB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"892","k141_2642838.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"891","k141_2641201.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus cristatus",NA,"Chromosome","Chromosome"
"890","k141_2640386.concoct_part_2","AAL14440","adeB","Tetracycline","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"889","k141_2640386.concoct_part_1","CAA62365","APH(3')-IIb","Aminoglycoside","antibiotic inactivation","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"888","k141_2640384.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"887","k141_2640188.concoct_part_1","AAV85982","macB","MLS","antibiotic efflux","Porphyromonas","Porphyromonas gingivalis",NA,"Chromosome","Chromosome"
"886","k141_263881.concoct_part_10","ACH87088","tet32","Tetracycline","antibiotic target protection","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"885","k141_2637591.concoct_part_0","BAJ42218","Escherichia coli ampH","Beta-lactam","antibiotic inactivation","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"884","k141_2636675.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"883","k141_2636435.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"882","k141_2635796.concoct_part_2","BAE77933","CRP","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"881","k141_2634386.concoct_part_1","AAG03548","TriC","Triclosan","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"880","k141_2633544.concoct_part_0","ABD30512","arlS","Fluoroquinolone","antibiotic efflux","Staphylococcus","Staphylococcus argenteus",NA,"Chromosome","Chromosome"
"879","k141_2631969.concoct_part_33","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"878","k141_2631969.concoct_part_1","AAC73788","kdpE","Aminoglycoside","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"877","k141_2631750.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"876","k141_2630761.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"875","k141_2630653.concoct_part_1","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"874","k141_2624831.concoct_part_5","AAC60780","rosB","Peptide antibiotic","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"873","k141_2624831.concoct_part_4","AAC73564","acrB","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"872","k141_2624831.concoct_part_1","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"871","k141_2623889.concoct_part_0","AAK99775","mefE","MLS","antibiotic efflux","Streptococcus","Streptococcus anginosus",NA,"Chromosome","Chromosome"
"870","k141_2622714.concoct_part_1","AEX49906","basS","Peptide antibiotic","antibiotic target alteration","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"869","k141_2620989.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"868","k141_2619531.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus cristatus",NA,"Chromosome","Chromosome"
"867","k141_2617110.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"866","k141_261681.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"865","k141_2616434.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"864","k141_2615929.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"863","k141_2611984.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"862","k141_2611763.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","Prevotella","Prevotella jejuni",NA,"Chromosome","Chromosome"
"861","k141_2607253.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"860","k141_2606990.concoct_part_1","ALH22601","adeL","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"859","k141_2606927.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"858","k141_2605480.concoct_part_0","AAC77293","mdtM","Multidrug","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"857","k141_2601918.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"856","k141_2598429.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"855","k141_2598249.concoct_part_0","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"854","k141_2597169.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"853","k141_2594649.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"852","k141_2593704.concoct_part_0","ABD30512","arlS","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"851","k141_25879.concoct_part_4","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"850","k141_2587088.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"849","k141_2585377.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"848","k141_2581824.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome"
"847","k141_2575146.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"846","k141_2573303.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"845","k141_2572299.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"844","k141_256710.concoct_part_0","AAK99775","mefE","MLS","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"843","k141_2567034.concoct_part_0","AAO43110","lsaA","Multidrug","antibiotic target protection","Lactobacillus","Lactobacillus salivarius",NA,"Chromosome","Chromosome"
"842","k141_2557337.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Olsenella","Olsenella sp.",NA,"Chromosome","Chromosome"
"841","k141_2555005.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"840","k141_2545411.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"839","k141_2543437.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"838","k141_2539240.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"837","k141_25379.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"836","k141_2535995.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"835","k141_2535427.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"834","k141_2524122.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"833","k141_2520222.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica","Mimiviridae","Chromosome","Phage"
"832","k141_2519573.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"831","k141_25113.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"830","k141_2510226.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"829","k141_2506552.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"828","k141_2504819.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"827","k141_2498441.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"826","k141_2493986.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"825","k141_2490823.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"824","k141_2487650.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","Prevotella","Prevotella scopos",NA,"Chromosome","Chromosome"
"823","k141_2484489.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Pseudopropionibacterium","Pseudopropionibacterium propionicum",NA,"Chromosome","Chromosome"
"822","k141_2480553.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"821","k141_2475684.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"820","k141_2471134.concoct_part_0","AAG05883","OprN","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"819","k141_2461891.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"818","k141_2460567.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Gemella","Gemella morbillorum",NA,"Chromosome","Chromosome"
"817","k141_2460471.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Gemella","Gemella morbillorum",NA,"Chromosome","Chromosome"
"816","k141_2459352.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"815","k141_2457386.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"814","k141_2454464.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sanguinis",NA,"Chromosome","Chromosome"
"813","k141_2442697.concoct_part_0","AAA23215","catQ","Phenicol","antibiotic inactivation","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"812","k141_2442672.concoct_part_0","BAE77933","CRP","Multidrug","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"811","k141_2442644.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"810","k141_2441033.concoct_part_0","AAA88548","AAC(6')-Ie-APH(2'')-Ia","Aminoglycoside","antibiotic inactivation","Staphylococcus","Staphylococcus aureus",NA,"Plasmid","Plasmid"
"809","k141_2439909.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"808","k141_2438571.concoct_part_11","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"807","k141_2433984.concoct_part_0","BAA11237","emrY","Tetracycline","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"806","k141_243170.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"805","k141_2430200.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"804","k141_2429197.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"803","k141_2427742.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"802","k141_2426474.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Corynebacterium","Corynebacterium striatum",NA,"Chromosome","Chromosome"
"801","k141_2422601.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"800","k141_242032.concoct_part_0","AAG05882","MexF","Multidrug","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"799","k141_2419364.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"798","k141_2414949.concoct_part_0","CAC14595","smeE","Multidrug","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
